1574616841,947.64,8111.30,5863.62,153.31
1574618641,947.22,8080.02,5862.58,153.52
1574620441,944.83,8112.10,6399.22,153.42
1574622241,946.82,8117.35,5929.86,153.09
1574624041,940.68,8082.80,5907.73,153.67
1574625842,942.46,8065.02,6159.16,152.96
1574627641,944.02,8102.51,5789.93,153.83
1574629441,943.42,8091.14,6257.91,153.68
1574631241,945.79,8105.81,5673.23,153.27
1574633041,944.42,8087.95,6372.56,153.10
1574634841,945.42,8104.57,6307.28,153.55
1574636641,944.60,8078.56,6206.56,153.38
1574638441,947.07,8103.35,5424.55,153.43
1574640241,945.71,8111.75,6147.01,153.59
1574642041,948.44,8121.37,6522.40,153.55
1574643841,946.82,8112.25,6183.13,153.15
1574645642,948.32,8121.27,6073.94,153.65
1574647441,947.70,8120.04,6792.74,152.80
1574649241,948.14,8107.88,6287.43,153.27
1574651041,946.11,8110.25,6322.50,153.36
1574652841,947.94,8162.39,6226.96,153.40
1574654641,947.67,8115.74,6340.57,153.02
1574656441,946.46,8107.34,6252.26,153.12
1574658241,944.89,8116.20,6279.60,153.42
1574660041,946.41,8078.42,6156.76,153.17
1574661842,948.19,8098.55,5486.36,153.38
1574663641,947.60,8104.09,5959.97,153.40
1574665441,946.75,8112.44,6221.54,153.30
1574667241,944.56,8111.88,6265.57,153.71
1574669041,942.36,8095.08,5301.14,153.06
1574670841,944.42,8096.42,5901.64,153.16
1574672641,944.34,8024.26,6222.40,153.17
1574674441,928.87,8035.42,5490.03,153.40
1574676241,945.45,8105.91,5377.15,153.24
1574678041,940.09,8080.20,5595.61,153.48
1574679842,942.01,8092.15,5903.65,153.30
1574681641,942.87,8073.82,6076.00,153.34
1574683441,942.13,8011.46,5261.32,153.71
1574685241,945.89,8108.03,5790.11,153.24
1574687041,943.71,8086.38,5688.50,153.38
1574688841,945.63,8082.86,5934.98,153.49
1574690641,946.02,8113.65,5742.44,153.17
1574692441,945.35,8110.14,6108.52,152.93
1574694241,941.79,8102.35,5761.52,153.60
1574696042,948.33,8102.08,6513.90,153.38
1574697841,944.81,8109.08,5244.50,152.87
1574699641,946.50,8101.27,5996.78,153.35
1574701441,945.39,8116.83,6407.73,153.43
1574703241,947.40,8103.41,6184.18,153.58
1574705041,945.60,8111.41,5226.74,153.14
1574706841,945.68,8083.50,6036.84,153.36
1574708641,946.16,8102.88,5640.34,152.99
1574710441,940.92,8094.09,5316.06,153.51
1574712242,941.58,8060.02,5570.02,153.59
1574714041,943.21,8104.29,5789.84,153.45
1574715841,945.27,8105.27,6043.52,153.24
1574717641,941.55,8081.75,5842.51,152.92
1574719441,941.43,8066.79,5381.70,153.36
1574721241,944.47,8107.74,4971.79,153.15
1574723041,944.74,8096.38,5892.90,153.46
1574724841,944.51,8101.38,6158.56,153.23
1574726641,944.46,8105.53,6303.21,153.17
